Sample in Buffer,Sample in Window,TRIGGER,sc_interrupt_sys/inst[31:0],sc_interrupt_sys/pc[31:0],sc_interrupt_sys/SI_ClkIn,sc_interrupt_sys/SI_Reset_N,sc_interrupt_sys/lock,sc_interrupt_sys/counter[26:0],sc_interrupt_sys/IO_Switch[15:0],sc_interrupt_sys/IO_LED[15:0],sc_interrupt_sys/dbg_imem_cs,sc_interrupt_sys/dbg_imem_we,sc_interrupt_sys/dbg_imem_addr[31:0],sc_interrupt_sys/dbg_imem_din[31:0],sc_interrupt_sys/dbg_dmem_cs,sc_interrupt_sys/dbg_dmem_we,sc_interrupt_sys/dbg_dmem_addr[31:0],sc_interrupt_sys/dbg_dmem_din[31:0],sc_interrupt_sys/dbg_halt_cpu,sc_interrupt_sys/IO_7SEGEN_N[7:0],sc_interrupt_sys/IO_7SEG_N[6:0],sc_interrupt_sys/intr
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
66,66,0,0003a383,00000018,1,1,1,323af5d,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
67,67,0,0003a383,00000018,0,1,1,323af5d,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
68,68,0,00038067,0000001c,1,1,1,323af5e,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
69,69,0,00038067,0000001c,0,1,1,323af5e,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
70,70,0,00000013,00000024,1,1,1,323af5f,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
71,71,0,00000013,00000024,0,1,1,323af5f,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
72,72,0,30200073,00000028,1,1,1,323af60,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
73,73,0,30200073,00000028,0,1,1,323af60,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
74,74,0,00552823,000000fc,1,1,1,323af61,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
75,75,0,00552823,000000fc,0,1,1,323af61,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
76,76,0,34202373,00000008,1,1,1,323af62,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
77,77,0,34202373,00000008,0,1,1,323af62,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
78,78,0,00f37393,0000000c,1,1,1,323af63,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
79,79,0,00f37393,0000000c,0,1,1,323af63,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
80,80,0,02000e13,00000010,1,1,1,323af64,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
81,81,0,02000e13,00000010,0,1,1,323af64,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
82,82,0,01c383b3,00000014,1,1,1,323af65,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
83,83,0,01c383b3,00000014,0,1,1,323af65,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
84,84,0,0003a383,00000018,1,1,1,323af66,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
85,85,0,0003a383,00000018,0,1,1,323af66,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
86,86,0,00038067,0000001c,1,1,1,323af67,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
87,87,0,00038067,0000001c,0,1,1,323af67,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
88,88,0,00000013,00000024,1,1,1,323af68,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
89,89,0,00000013,00000024,0,1,1,323af68,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
90,90,0,30200073,00000028,1,1,1,323af69,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
91,91,0,30200073,00000028,0,1,1,323af69,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
